community_area,total_crimes,total_arrests,pct_below_poverty
0,76,8,
1,122662,30808,23.6
2,102131,15880,17.2
3,117614,32497,24.0
4,57069,9679,10.9
5,46236,7793,7.5
6,163292,27610,11.4
7,123010,15493,12.3
8,284844,68663,12.9
9,7938,872,3.3
10,34782,4684,5.4
11,31537,5008,8.6
12,14736,1494,7.5
13,27015,4394,13.2
14,71164,15413,19.2
15,100030,21362,11.6
16,88207,15375,13.1
17,48948,7320,10.6
18,19058,2611,15.3
19,144298,32819,18.7
20,47112,11440,20.5
21,72972,13784,15.3
22,162710,30958,16.8
23,243259,89379,33.9
24,231802,38980,14.7
25,483746,174715,28.6
26,145933,61756,41.7
27,145514,53687,42.4
28,247179,55698,20.6
29,228957,82553,43.1
30,132309,35341,30.7
31,78946,19343,25.8
32,203002,48485,14.7
33,63014,17974,13.8
34,30427,6584,40.1
35,88429,28569,29.6
36,19012,3165,39.7
37,25782,8619,51.2
38,109721,27482,29.3
39,47385,7451,21.7
40,82894,21730,42.1
41,53336,6937,18.4
42,125532,34994,30.7
43,260359,56337,31.1
44,174467,41626,27.8
45,39900,7044,17.2
46,143410,34297,29.8
47,11576,2303,33.0
48,43157,7138,11.5
49,206692,52403,19.8
50,32175,7231,21.6
51,52736,10923,29.2
52,39429,7596,19.2
53,127191,29952,25.9
54,35708,7594,56.5
55,18136,2913,17.1
56,65449,15081,8.8
57,28896,5124,14.1
58,75366,17780,23.6
59,31934,7197,18.7
60,50497,9002,18.9
61,155789,48609,29.0
62,30410,5420,15.6
63,72118,17326,23.4
64,31682,4729,8.9
65,57977,12256,14.9
66,189126,48590,27.9
67,218114,61748,34.4
68,201528,54254,46.6
69,196512,48789,29.6
70,71506,10635,10.4
71,221645,53985,27.6
72,28851,3661,5.1
73,93965,19853,16.9
74,17655,2652,3.4
75,62728,12970,13.2
76,48342,11695,15.4
77,81252,16364,18.2
